FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
SING SING RONG CHANG                ,"1769 DUTCH BROADWAY,  ELMONT",03/23/2016,13B,"Garbage storage areas not properly constructed or maintained, creating a nuisance",Not Critical Violation,0,0,5,Nassau  County,NASSAU,07328-05  ,1769 DUTCH BROADWAY  ,ELMONT,11003    ,295013,HEMPSTEAD,SING SING RONG CHANG,08/31/2016,Food Service Establishment,Food Service Establishment,,SING SING RONG CHENG INC,,,817632,Inspection,"Seatings: 20, Food Manager's Certificate Ying Zhang-----February 2017, Inspection Ratings: 0/5""A""",NY,40.689136,-73.707524
ESTEA CAFE                          ,"10  GRACE AVENUE,  GREAT NECK",04/14/2016,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,2,Nassau  County,NASSAU,19090-08  ,10  GRACE AVENUE,GREAT NECK,11021    ,295106,N. HEMPSTEAD,ESTEA CAFE,03/31/2017,Food Service Establishment,Food Service Establishment,,ESTEA CAFE INC,,,917266,Inspection,Rating A.             16 seats,NY,,
GARRAMONE'S RESTAURANT              ,"11770 O'BRIEN ROAD,  FORESTPORT",11/07/2008,6A,Potentially hazardous foods are not kept at or above 140oF during hot holding.,Critical Violation,1,0,0,Oneida County,ONEIDA,32-3365  H,11770 O'BRIEN ROAD,FORESTPORT,13338    ,325900,FORESTPORT,GARRAMONE'S RESTAURANT,12/31/2016,Food Service Establishment,Food Service Establishment,,,GARRAMONE,ROCCO,288800,Re-Inspection,,NY,43.431733,-75.181105
Nina                                ,"27 WEST MAIN  STREET,  MIDDLETOWN",10/10/2013,14A,"Insects, rodents present",Not Critical Violation,2,0,6,Orange County,ORANGE,13569     ,27 WEST MAIN  STREET,MIDDLETOWN,10940    ,350101,MIDDLETOWN,Nina,05/31/2016,Food Service Establishment,Food Service Establishment,,Brendle Restaurant Corp.,Brendle,Franz,601336,Inspection,,NY,41.445143,-74.42136
LUCY'S PIZZA                        ,"26 SOUTH HIGHLAND AVENUE,  OSSINING",03/29/2016,8D,"Single service items reused, improperly stored, dispensed, not used when required",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,01-K369-B ,26 SOUTH HIGHLAND AVENUE,OSSINING,10562    ,596100,OSSINING,LUCY'S PIZZA,12/31/2016,Food Service Establishment,Food Service Establishment,,"CASARP, INC.","CASARP, INC.", ,558777,Inspection,,NY,41.160939,-73.861244
ORGANIC KRUSH                       ,"108 WOODBURY ROAD,  WOODBURY",03/09/2016,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,2,0,3,Nassau  County,NASSAU,15807-11  ,108 WOODBURY ROAD,WOODBURY,11797    ,295217,OYSTER BAY,ORGANIC KRUSH,02/28/2017,Food Service Establishment,Restaurant,,"OK 1, LLC",,,916203,Inspection,"Change of corporation has been processed, inspection has now been resubmitted under OK 1.  ---------------------------------------------------------------------------------------------------------------------------------------

Grade = ""A"",   ---------- Seats = 16,   ---------------- FMT: WILSON TZOY 7/2018 #49126,  --- MICHELLE WALRATH 10/2018 #49448,  -- MEREDITH DRESNER 8/2018 #49275,  --  FRAN PANICCIA 8/2018 #49290. --------------------------------------------------------

Operator please note that due to the lack of being connected to a municipal sewage system this establishment is limited to an occupancy of no more than 16 seats and may not use an automatic dish washing machine.  -------------------------------

The Nassau County Public Health Ordinance (Article III A, section 7) requires every food service establishment to retain on the premises and make available to any person upon request the most recent inspection report issued by the Health Department. A notice of this availability must be prominently displayed to the public...................... A placard for posting by the establishment was provided by NCDOH on this day.",NY,,
SUBWAY SANDWICH & SALAD             ,"1918 GENESEE STREET,  UTICA",03/02/2016,16,"Miscellaneous, Economic Violation, Choking Poster, Training.",Not Critical Violation,0,0,3,Oneida County,ONEIDA,32-4347  M,1918 GENESEE STREET,UTICA,13502    ,320203,UTICA,SUBWAY SANDWICH & SALAD,12/31/2016,Food Service Establishment,Food Service Establishment,,S.B. SUBS INC.,BHATT,ALOK,290078,Inspection,"Satisfactory
Violations are specifically listed above and violations not listed, but which are contained in the same category of the indicated violation, are not present.",NY,43.087452,-75.2597
SUSHI PALACE                        ,"282 MERRICK ROAD,  ROCKVILLE CENTRE",04/06/2016,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,1,0,6,Nassau  County,NASSAU,18764-03  ,282 MERRICK ROAD,ROCKVILLE CENTRE,11570    ,290900,HEMPSTEAD,SUSHI PALACE,,Food Service Establishment,Restaurant,,SUSHI AYCE 282 INC,,,916600,Inspection,"FMTC Ping Xiao has passed the NYC FMTC and has submitted documentation to the Nassau County DOH. Waiting for the reciprocal certificate to be mailed to the establishment. Receipt for reciprocal certificate provided at the time of inspection.

Seats 60

Grade B",NY,,
NEW HAPPY DAYS CAFE                 ,"2517 RT 44 WASH HOLLOW PLZA,  SALT POINT",02/10/2016,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,1,Dutchess County,DUTCHESS,0000669   ,2517 RT 44 WASH HOLLOW PLZA  ,SALT POINT,12578    ,136200,PLEASANT VALLEY,NEW HAPPY DAYS CAFE,05/31/2016,Food Service Establishment,Restaurant,,,UDDIN,MOHD,273923,Re-Inspection,Owner has contacted landlord for repair of ceiling. Previously noted violations have been corrected..,NY,,
ESTEA CAFE                          ,"10  GRACE AVENUE,  GREAT NECK",04/14/2016,16,"Miscellaneous, Economic Violation, Choking Poster, Training.",Not Critical Violation,0,0,2,Nassau  County,NASSAU,19090-08  ,10  GRACE AVENUE,GREAT NECK,11021    ,295106,N. HEMPSTEAD,ESTEA CAFE,03/31/2017,Food Service Establishment,Food Service Establishment,,ESTEA CAFE INC,,,917266,Inspection,Rating A.             16 seats,NY,,
SALVATORE'S PIZZERIA                ,"7588 NORTH BROADWAY,  RED HOOK",12/28/2006,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,6,Dutchess County,DUTCHESS,0001122   , 7588 NORTH BROADWAY  ,RED HOOK,12571    ,136400,RED HOOK,SALVATORE'S PIZZERIA,03/31/2017,Food Service Establishment,Restaurant,,NORTH BROADWAY PIZZA & CAFE INC,LAVEGLIA,ANGELO,274051,Re-Inspection,,NY,41.999034,-73.872954
O'TOOLE'S RESTAURANT PUB            ,"118 QUAKER ROAD,  QUEENSBURY",01/09/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,7,0,23,Glens Falls District Office,WARREN,56-AO36   ,118 QUAKER ROAD,QUEENSBURY,12804    ,565700,QUEENSBURY,O'TOOLE'S RESTAURANT & PUB,09/30/2017,Food Service Establishment,Restaurant,,"HAWKINS RESTAURANTS, INC.",HAWKINS,STEVE,332930,Inspection,,NY,43.331859,-73.662468
SARKU JAPAN                         ,"630 OLD COUNTRY RD SP# FB12,  GARDEN CITY",02/24/2016,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,4,Nassau  County,NASSAU,21634-01  ,630 OLD COUNTRY RD SP# FB12  ,GARDEN CITY,11530    ,290500,HEMPSTEAD,SARKU JAPAN,12/31/2016,Food Service Establishment,Food Service Establishment,,SAR FOOD OF NEW YORK INC,,,889083,Inspection,"This establishment received an ""A"" rating. 
FMTC: Zhen Lin, expires March 2018",NY,,
PORT WASHINGTON SD - PD SCHREIBER HS,"101 CAMPUS DRIVE,  PORT WASHINGTON",04/11/2016,8A,"Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked)",Not Critical Violation,0,0,2,Nassau  County,NASSAU,11443-05  ,101 CAMPUS DRIVE,PORT WASHINGTON,11050    ,299900,NASSAU SCHOOLS,PORT WASHINGTON SD - PD SCHREIBER HS,07/31/2016,Institutional Food Service,School K-12 Food Service,,"ARAMARK EDUCATIONAL SERVICES, LLC",,,677205,Inspection,Rating A.      Maria Gallo food manager training course certificate expires September 2018,NY,40.829447,-73.681262
HUNAN III                           ,"6 CEDAR STREET,  BRONXVILLE",04/14/2016,10A,"Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces)",Not Critical Violation,0,0,18,Westchester County,WESTCHESTER,01-M181-A ,6 CEDAR STREET,BRONXVILLE,10708    ,592200,EASTCHESTER,HUNAN III,02/28/2017,Food Service Establishment,Food Service Establishment,,RED PEPPER RESTAURANT INC.,RED PEPPER RESTAURANT INC., ,694536,Inspection,"**re-inspection to occur in or about 3 weeks
measured temperatures acceptable",NY,40.938924,-73.833246
MONAHAN CHASE CATERERS @ TMPL B. EL ,"3 MARION AVENUE,  GLENS FALLS",11/06/2015,8D,"Single service items reused, improperly stored, dispensed, not used when required",Not Critical Violation,0,0,10,Glens Falls District Office,WARREN,56-AO84   ,3 MARION AVENUE,GLENS FALLS,12801    ,560100,GLENS FALLS,MONAHAN CHASE CATERERS @ TEMPLE BETH EL,09/30/2016,Food Service Establishment,Catering Operation,,MONAHAN CHASE CATERERS,CHASE,MAUREEN,547755,Inspection,Must correct all violations no later than 11/20/15.  Must send Corey DiLorenzo an email to corey.dilorenzo@health.ny.gov addressing corrective actions taken to all cited violations no later than 11/20/15.,NY,43.31354,-73.652159
RIVERSIDE PIZZA                     ,"3169 ROUTE 9W,  SAUGERTIES",03/22/2016,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,8,Ulster County,ULSTER,55-64023  ,3169 ROUTE 9W  ,SAUGERTIES,12477    ,556400,SAUGERTIES,RIVERSIDE PIZZA,02/28/2017,Food Service Establishment,Food Service Establishment,,"MEL-MIKE RESTAURANT, INC.",SANTORO,MICHAEL,316247,Inspection,"Cooling - Shallow containers depth 4 inches or less, Ice bath, Ice wands, Cut into 6 pound pieces or less, Left self inspection checklist, Pizza - Max hold time 2 - 3 hours, if any leftovers discarded, Sandwich bain marie @34f, Pizza bain marie @ 34f, Stove - Meatballs @ 167f, Walk in cooler @ 34f, Hand wash sink ok, Soap & Paper towels onsite, Sanitizer onsite, Gloves, Probe thermometer onsite, Reheating / cooling chart onsite, Discussed Cooling, Hand washing with owner.",NY,42.05996,-73.95265
LA BAGUETTE D'OR BAKERY             ,"216  NORTH MAIN STREET,  SPRING VALLEY",02/18/2015,12D,"Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs",Not Critical Violation,0,0,1,Rockland County,ROCKLAND,43-6444   ,216  NORTH MAIN STREET,SPRING VALLEY,10977    ,435300,RAMAPO,LA BAGUETTE D'OR BAKERY ,01/31/2017,Food Service Establishment,Food Service Establishment,,LA BAGUETTE D'OR BAKERY LLC,JOSEPH,NADJA ,885195,Inspection,,NY,,
VILLAGE TAVERN & RESTAURANT         ,"201 VLEY ROAD,  SCOTIA",12/08/2005,12D,"Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs",Not Critical Violation,0,0,4,Schenectady County,SCHENECTADY,46-AF64   ,201 VLEY ROAD,SCOTIA,12302    ,462000,GLENVILLE,J.K. MULLIGANS INC.,06/30/2016,Food Service Establishment,Tavern,,"J.K. MULLIGANS, INC.",FINCK,J. KIP,305995,Inspection,,NY,42.833,-73.962802
NESSA                               ,"325 NORTH MAIN STREET,  PORT CHESTER",04/08/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,11,Westchester County,WESTCHESTER,01-K268-A ,325 NORTH MAIN STREET,PORT CHESTER,10573    ,590600,RYE,NESSA,08/31/2016,Food Service Establishment,Food Service Establishment,,TESSITORE MANAGEMENT LLC,TESSITORE MANAGEMENT LLC, ,556307,Re-Inspection,"tags for mussels from original inspection provided via e-mail after first inspection, tags maintained on site.  summons php-6366-16-mk-szs4-fse issued wtih $500 waiver. Fine must be paid 10 days prior to hearing date to waive hearing appearance.
remaining violations to be checked on next routine inspection",NY,41.005808,-73.659003
BEDFORD GOLF & TENNIS CLUB - MAIN DI,"ROUTE 22,  BEDFORD",04/13/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,3,Westchester County,WESTCHESTER,01-0022-A , ROUTE 22  ,BEDFORD,10506    ,595000,BEDFORD,BEDFORD GOLF & TENNIS CLUB - MAIN DINING,06/30/2016,Food Service Establishment,Food Service Establishment,,BEDFORD GOLF AND TENNIS CLUB,BEDFORD GOLF AND TENNIS CLUB, ,473891,Inspection,Measured hot/cold holding temperatures adequate at this time.,NY,41.1936,-73.656539
FULTON YOUTH HOCKEY SNACK BAR       ,"605 WEST BROADWAY,  FULTON",12/19/2007,2E,"Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.",Critical Violation,2,0,3,Oswego County,OSWEGO,37-F517   , 605 WEST BROADWAY  ,FULTON,13069    ,370100,FULTON,FULTON YOUTH HOCKEY SNACK BAR,03/05/2017,Food Service Establishment,Restaurant,,FULTON YOUTH HOCKEY,SCHREMP,JEFF,296646,Inspection,"12/19/07

4A  UNLABELED SPRAY BOTTLED (CONTAINING WAITER) ON COUNTERTOP FOR FOOD PREP.  CORRECTED:  LABELED IMMEDIATELY

8D  PLASTIC WARE STORED WITH EATING SURFACES FACING UP, HANDLES DOWN.

2E  PROBE THERMOMETER NOT AVAILABLE TO MEASURE TEMPERATURES OF POTENTIALLY HAZARDOUS FOODS - MILK, CORNDOGS, CREAM CHEESE.  CORRECTION:  BORROWED ONE FOR TONIGHT/W/CALL WHEN NEW ONE PURCHASED

9C  WORKERS DO NOT WEAR HAIR RESTRAITNS

16  CURRENT PERMIT IS NOT POSTED.  VOLUNTEERS UNSURE IF APPLICATION AND FEE WERE SUBMITTED FOR 2007.",NY,43.313955,-76.424772
"COMO RESTAURANT, INC.               ","2220 PINE AVENUE,  NIAGARA FALLS",08/09/2007,9B,"Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas",Not Critical Violation,0,0,1,Niagara County,NIAGARA,F243      ,2220 PINE AVENUE,NIAGARA FALLS,14301    ,310200,NIAGARA FALLS,"COMO RESTAURANT, INC.",07/31/2016,Food Service Establishment,Restaurant/Catering Operation,,,COLUCCI,DOMINIC,285874,Re-Inspection,9B- Employees viewed smoking in a rear room next to the walkin freezer.,NY,43.095159,-79.035149
AN AMERICAN BISTRO                  ,"296 COLUMBUS AVENUE,  TUCKAHOE",03/29/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,30,Westchester County,WESTCHESTER,01-H257-A ,296 COLUMBUS AVENUE,TUCKAHOE,10707    ,592300,E. CHESTER,AN AMERICAN BISTRO,10/31/2016,Food Service Establishment,Food Service Establishment,AN AMERICAN BISTRO,TWO AMERICANS INC.,TWO AMERICANS INC., ,466353,Re-Inspection,"RED ITEM INSPECTION .
ALL TEMPERATURES ACCEPTABLE. NO RED VIOLATIONS OBSERVED AT THIS TIME
REMAINING NON-CRITICAL VIOLATIONS TO BE CORRECTED ON OR ABOUT APRIL 21,2016",NY,40.958515,-73.820994
SALSA & SOUL                        ,"23 MOUNT VERNON AVENUE,  MOUNT VERNON",04/05/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,14,Westchester County,WESTCHESTER,01-M398-A ,23 MOUNT VERNON AVENUE,MOUNT VERNON,10550    ,590301,MT. VERNON,SALSA & SOUL,07/31/2016,Food Service Establishment,Catering Operation,,"SALSA & SOUL, LTD.","SALSA & SOUL, LTD.", ,714933,Re-Inspection,"REINSPECT ON OR ABOUT APRIL 15TH, 2016.
ALL OF THE VIOLATIONS OBSERVED ABOVE ARE RECURRING. FAILURE TO CORRECT MAY RESULT IN SUMMONS,ADMINISTRATIVE HEARING, AND POSSIBLE CIVIL PENALTIES",NY,40.911034,-73.844972
SARKU JAPAN                         ,"630 OLD COUNTRY RD SP# FB12,  GARDEN CITY",02/24/2016,2C,Cooked or prepared foods are subject to cross-contamination from raw foods.,Critical Violation,2,0,4,Nassau  County,NASSAU,21634-01  ,630 OLD COUNTRY RD SP# FB12  ,GARDEN CITY,11530    ,290500,HEMPSTEAD,SARKU JAPAN,12/31/2016,Food Service Establishment,Food Service Establishment,,SAR FOOD OF NEW YORK INC,,,889083,Inspection,"This establishment received an ""A"" rating. 
FMTC: Zhen Lin, expires March 2018",NY,,
I LOVE NY PIZZA HOOSICK STREET      ,"445 HOOSICK STREET,  TROY",04/01/2014,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,4,Rensselaer County,RENSSELAER,41-T725   ,445 HOOSICK STREET,TROY,12180    ,410202,TROY,I LOVE NY PIZZA,10/31/2016,Food Service Establishment,Restaurant,,VALLAJ - MARKOCAJ INC.,Markocaj,Ilir,467905,Inspection,,NY,42.738835,-73.660064
DUNKIN DONUTS                       ,"1070 WEST BEECH STREET,  LONG BEACH",04/14/2016,8E,Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures,Not Critical Violation,0,0,2,Nassau  County,NASSAU,00844-02  ,1070 WEST BEECH STREET,LONG BEACH,11561    ,290200,LONG BEACH,DUNKIN DONUTS,10/31/2016,Food Service Establishment,Restaurant,,LONG BEACH DONUTS CORP,,,852085,Inspection,"Grade A

Seats 20",NY,,
Barley's                            ,"2710 James STREET,  Syracuse",02/24/2016,11C,"Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred",Not Critical Violation,1,0,7,Onondaga County,ONONDAGA,5026      ,2710 James STREET,Syracuse,13206    ,330100,SYRACUSE,Barley's,01/31/2016,Food Service Establishment,Restaurant,,"T.L. Tavern, Inc.",Michel,Tracy,792105,Inspection,"Establishment needs to submit permit renewal form, fee including late fee, and insurance documentation for Workers Comp and NYS Disability in order to receive their 2016 food service establishment permit.",NY,43.068678,-76.108574
Bonnie's Place                      ,"628 WEST Manlius STREET,  East Syracuse",03/30/2016,11C,"Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred",Not Critical Violation,1,0,3,Onondaga County,ONONDAGA,230       ,628 WEST Manlius STREET,East Syracuse,13057    ,335300,DEWITT,Bonnie's Place,01/31/2017,Food Service Establishment,Tavern,,"The Caboose, Inc.",Trieb,Bonnie,292739,Inspection,,NY,43.066542,-76.08091
DENNY'S RESTAURANT #8195            ,"1283 ROUTE 300,  NEWBURGH",12/28/2012,11C,"Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred",Not Critical Violation,0,0,7,Orange County,ORANGE,631804    ,1283 ROUTE 300  ,NEWBURGH,12550    ,356300,NEWBURGH,Denny's Restaurant #8195           ,10/31/2016,Food Service Establishment,Food Service Establishment,,"Gill's Newburgh, Inc.",Gill,Hardev,602717,Inspection,,NY,41.50739,-74.068218
