FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
STANFORD GIBSON ELEMENTARY          ,"RIDGELAND ROAD,  NORWICH",07/15/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Food Preparation Site,Chenango County,CHENANGO, RIDGELAND ROAD,NORWICH,13815    ,082400,NORWICH,StanfordGibson Summer Feeding Program,12/31/2016,,,,,431194,Inspection,,NY,"(42.540517, -75.530306)"
STEDMAN CREAMERY                    ,"3934 CHAUTAUQUA STEDMAN ROAD,  MAYVILLE",07/12/2015,"Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12A-   Hot, cold running water not provided, pressure inadequate; ",0,0,2,Food Service Establishment - Frozen Desserts,Chautauqua County,CHAUTAUQUA,3934 CHAUTAUQUA STEDMAN ROAD,MAYVILLE,14757    ,067600,NO. HARMONY,STEDMAN CREAMERY FSE,06/30/2017,,,JOHNSON,MARYA,896872,Inspection,,NY,"(42.169892, -79.476847)"
COUNTRY CREAM                       ,"11181 STATE HWY 8,  MASONVILLE",07/14/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Oneonta District Office,DELAWARE,11181 STATE HWY 8  ,MASONVILLE,13804    ,126100,MASONVILLE,COUNTRY CREAM,04/30/2017,,,Tripp,Bonnie,580460,Inspection,,NY,"(42.184593, -75.372485)"
RALPH'S ICES                        ,"627 OLD COUNTRY ROAD,  PLAINVIEW",06/17/2015,"Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,Food Service Establishment - Ice Cream Store,Nassau  County,NASSAU,627 OLD COUNTRY ROAD,PLAINVIEW,11803    ,295214,OYSTER BAY,RALPH'S ICES,03/31/2017,,"PLAINVIEW ICES, INC",SERRAO,ANDREW,673362,Inspection,,NY,"(40.771385, -73.49261)"
Locker Room (The)                   ,"528 Hiawatha BOULEVARD,  Syracuse",06/17/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,528 Hiawatha BOULEVARD,Syracuse,13208    ,330100,SYRACUSE,Locker Room (The),01/31/2017,,"Fire & Ice, Inc.",Easterly,Frederick,294609,Inspection,Co-Inspector Robin Arnold.,NY,"(43.075453, -76.162926)"
NEW KITCHEN EXPRESS                 ,"74 MAIN STREET,  BROCKPORT",06/17/2015,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,4,Food Service Establishment - Restaurant,Monroe County,MONROE,74 MAIN STREET,BROCKPORT,14420    ,272800,SWEDEN,New Kitchen Express,12/31/2016,,,,,695218,Inspection,,NY,"(43.214952, -77.938735)"
SCOOPS ON MAIN STREET               ,"102 MAIN STREET,  MORAVIA",06/18/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Cayuga County,CAYUGA,102 MAIN STREET,MORAVIA,13118    ,056100,MORAVIA,SCOOPS ON MAIN STREET,10/31/2016,,"Duryea Street Enterprises, LLC",Campanella,Charles,891964,Inspection,,NY,"(42.711521, -76.421364)"
DG GALLO'S PIZZA & SUBS             ,"1064 STONE ROAD,  ROCHESTER",06/15/2015,"Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,3,Food Service Establishment - Restaurant,Monroe County,MONROE,1064 STONE ROAD,ROCHESTER,14616    ,270104,ROCHESTER,JD GALLO'S PIZZA & SUBS,12/31/2016,,,,,793738,Inspection,,NY,"(43.217737, -77.653442)"
WATKINS GLEN STATE PARK POOL CONCESS,"WATKINS GLEN STATE PARK,  WATKINS GLEN",06/22/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Hornell District Office,SCHUYLER, WATKINS GLEN STATE PARK  ,WATKINS GLEN,14891    ,485200,DIX,WATKINS GLEN STATE PARK POOL CONCESSION,06/15/2016,,"GUEST SERVICES MANAGEMENT, LLC",DIAMOND,ALICIA,800434,Inspection,,NY,"(42.365638, -76.906099)"
OLD MCDONALD'S FARM                 ,"14471 COUNTY ROUTE 145,  SACKETS HARBOR",06/22/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,7,Food Service Establishment - Food Service Establishment,Watertown District Office,JEFFERSON,14471 COUNTY ROUTE 145  ,SACKETS HARBOR,13685    ,225900,HOUNSFIELD,OLD MCDONALD'S FARM ,10/31/2016,,"OLD MCDONALD'S FARM, LLC",Robbins,Nancy,363679,Inspection,,NY,"(43.900901, -76.07577)"
"HAPPEN INN, THE                     ","2 MAIN Street West,  LITTLE FALLS",06/18/2015,"Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",1,0,4,Food Service Establishment - Restaurant,Herkimer District Office,HERKIMER,2 MAIN Street West,LITTLE FALLS,13365    ,212900,LITTLE FALLS,THE HAPPEN INN,08/31/2017,,"IMPRESA GROUP, INC.",PERUZZI,LAWRENCE,339666,Inspection,thermometer obtained and verified by summer phi,NY,"(43.043249, -74.85972)"
HOT DOG CHARLIES - SARATOGA ST.     ,"618 SARATOGA STREET,  COHOES",06/08/2015,No violations found.,0,0,0,Food Service Establishment - Frozen Desserts,Albany County,ALBANY,618 SARATOGA STREET,COHOES,12047    ,010200,COHOES,FROZEN DESSERT-HOT DOG CHARLIE'S,09/30/2016,,,,,252771,Inspection,,NY,"(42.754085, -73.700656)"
LICKITY SPLIT                       ,"3877 ST HWY 30,  AMSTERDAM",06/15/2015,"Item  6A-  Critical Violation [RED] Potentially hazardous foods are not kept at or above 140oF during hot holding.; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin; ",7,0,2,Food Service Establishment - Restaurant,Herkimer District Office,FULTON,3877 ST HWY 30  ,AMSTERDAM,12010    ,175500,MAYFIELD,LICKITY SPLIT,10/10/2016,,"LICKITY SPLIT, INC.",RUSSO,WILLIAM,340578,Inspection,,NY,"(43.033592, -74.202943)"
CATCH THE WAVE                      ,"1131 OLD COUNTRY ROAD,  PLAINVIEW",06/23/2015,"Item  8B-   In use food dispensing utensils improperly stored; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,2,Food Service Establishment - Ice Cream Store,Nassau  County,NASSAU,1131 OLD COUNTRY ROAD,PLAINVIEW,11803    ,295214,OYSTER BAY,CATCH THE WAVE,09/30/2016,,CATCH THE WAVE LLC,AGLIATO,MICHAEL,789119,Inspection,,NY,"(40.776324, -73.466357)"
Wendy's                             ,"3798 James STREET,  Syracuse",05/21/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3798 James STREET,Syracuse,13206    ,335300,DEWITT,Wendy's,01/31/2017,,"L.P.S. Enterprises of New York, LTD.",Rhoads,Molly,293215,Inspection,,NY,"(43.069515, -76.09065)"
ICE CREAM CASTLE                    ,"5 POWELLS LANE,  KINGSTON",06/23/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; ",0,0,2,Food Service Establishment - Food Service Establishment,Ulster County,ULSTER,5 POWELLS LANE,KINGSTON,12401    ,556700,ULSTER,ICE CREAM CASTLE,02/28/2017,,"VENTURES OF JJJ, INC.",JULIANO,JOSEPH,794384,Inspection,,NY,"(41.941018, -74.026655)"
Grammies Pantry                     ,"1126 Woodworth ROAD,  Skaneateles",06/10/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1126 Woodworth ROAD,Skaneateles,13152    ,336600,SPAFFORD,Grammies Pantry,01/31/2017,,,Smith,Susan,294633,Inspection,,NY,"(42.82324, -76.279446)"
HIBBARD'S FROZEN CUSTARD            ,"7001 PACKARD ROAD,  NIAGARA FALLS",06/26/2015,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; ",0,0,1,Food Service Establishment - Restaurant,Niagara County,NIAGARA,7001 PACKARD ROAD,NIAGARA FALLS,14304    ,315500,NIAGARA,HIBBARD'S FROZEN CUSTARD,06/30/2016,,"HIBBARD'S CUSTARD KING, L.L.C .",HIBBARD,JAMES,872328,Inspection,"11 B - CHLORINE SANITIZER STRONG, CORRECTED",NY,"(43.108995, -78.984691)"
POPS HOTS                           ,"305 EAST MAIN  STREET,  PALMYRA",06/30/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Geneva District Office,WAYNE,305 EAST MAIN  STREET,PALMYRA,14522    ,582500,PALMYRA,POPS HOTS ,06/30/2016,,,BEYEA,RICHARD ,804434,Inspection,no violations noted,NY,"(43.063665, -77.229704)"
SUBWAY-WEST                         ,"255 WEST SENECA STREET,  OSWEGO",07/02/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Oswego County,OSWEGO, 255 WEST SENECA STREET  ,OSWEGO,13126    ,370200,OSWEGO,SUBWAY-WEST,07/31/2016,SUBWAY-WEST,"BOO GA LOO, INC.",BATCHELOR,CHRISTOPHER,296775,Inspection,,NY,"(43.45283, -76.530102)"
DUNKIN DONUTS/BASKIN ROBBINS        ,"2062 LAKEVILLE ROAD,  NEW HYDE PARK",06/26/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,2062 LAKEVILLE ROAD,NEW HYDE PARK,11040    ,291201,N. HEMPSTEAD,DUNKIN DONUTS/BASKIN ROBBINS,02/28/2017,DUNKIN DONUTS/BASKIN ROBBINS,LAKEVILLE DONUTS INC,,,574622,Inspection,,NY,"(40.752112, -73.701116)"
ENCH. FOREST WALTER SAFARI'S SNACK  ,"3183 STATE RTE 28,  OLD FORGE",06/30/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Herkimer District Office,HERKIMER,3183 STATE RTE 28  ,OLD FORGE,13420    ,216700,WEBB,ENCH. FOREST WALTER SAFARI'S SNACK SHACK,09/22/2015,ENCHANTED FOREST / WATER SAFARI,"OLD FORGE PROPERTIES, INC.",NOONAN,TIMOTHY,832547,Inspection,,NY,"(43.713685, -74.968315)"
MOTOR'S IN                          ,"83 NORTH MAIN STREET,  DOLGEVILLE",07/02/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Herkimer District Office,HERKIMER,83 NORTH MAIN STREET,DOLGEVILLE,13329    ,212500,MANHEIM,MOTOR'S IN,05/31/2017,,, JOHNSON,NORA,338756,Inspection,,NY,"(43.104669, -74.770225)"
DOGTOWN                             ,"691 MONROE AVENUE,  ROCHESTER",07/02/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; ",0,0,4,Food Service Establishment - Restaurant,Monroe County,MONROE,691 MONROE AVENUE,ROCHESTER,14607    ,270104,ROCHESTER,DOGTOWN,12/31/2016,,,,,668479,Inspection,,NY,"(43.144136, -77.58961)"
FONDA DAIRY BAR                     ,"22 SOUTH BRIDGE STREET,  FONDA",07/03/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Herkimer District Office,MONTGOMERY,22 SOUTH BRIDGE STREET,FONDA,12068    ,282500,MOHAWK,FONDA DAIRY BAR,09/06/2016,,,SQUILLACE,JIM,338196,Inspection,,NY,"(42.95605, -74.37465)"
LANSINGBURGH BOYS & GIRLS           ,"501 FOURTH  AVENUE,  TROY",07/07/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Rensselaer County,RENSSELAER,501 FOURTH  AVENUE,TROY,12182    ,410202,TROY,LANSINGBURGH BOYS & GIRLS,11/30/2016,,LANSINGBURGH BOYS & GIRLS CLUB,MANUPELLA,Michael,518278,Inspection,,NY,"(42.771748, -73.676027)"
SUNSHINE ACRES                      ,"165 SPORTSMAN ROAD,  NAPANOCH",07/08/2015,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Food Service Establishment,Ulster County,ULSTER,165 SPORTSMAN ROAD,NAPANOCH,12458    ,556800,WAWARSING,Sunshine Acres Food Service,08/07/2015,,,,,314859,Inspection,,NY,"(41.771443, -74.390127)"
City of Batavia Y B Community Center,"12 McArthur DRIVE,  Batavia",07/07/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Food Preparation Site,Genesee County,GENESEE,12 McArthur DRIVE,Batavia,14020    ,180100,BATAVIA,SED Lions Park,,,,,,900019,Inspection,Chicken patty on bun reads 27F at time of inspection. Individual carton of chocolate milk reads 33F at time of inspection. Number of meals served: 15. Number of children not served: 0. Number of extra meals: 0.    LEA Code: 800000085266.     (1.5),NY,"(43.011175, -78.179895)"
BINGHAMTON HIGH SCHOOL              ,"31 MAIN STREET,  BINGHAMTON",07/07/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Food Preparation Site,Broome County,BROOME,31 MAIN STREET,BINGHAMTON,13905    ,030100,BINGHAMTON,BINGHAMTON HIGH SCHOOL,,,,,,258168,Inspection,,NY,"(42.098996, -75.918986)"
Ruby Tuesday #7457                  ,"3220 Erie Boulevard East,  Dewitt",06/15/2015,"Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3220 Erie Boulevard East  ,Dewitt,13214    ,335300,DEWITT,Ruby Tuesday #7457,01/31/2017,,"Ruby Tuesday, Inc.",McFalls,Leslie,540612,Inspection,,NY,"(43.051292, -76.073108)"
DOUBLEDAY DIP                       ,"115 MAIN STREET,  COOPERSTOWN",07/06/2015,No violations found.,0,0,0,Food Service Establishment - Ice Cream Store,Oneonta District Office,OTSEGO,115 MAIN STREET,COOPERSTOWN,13326    ,382401,OTSEGO,DOUBLEDAY DIP,04/30/2017,,"METRO CLEANERS, LLC",Michelitsch,Helmut,355271,Inspection,,NY,"(42.700616, -74.925247)"
MIDWAY (THE)                        ,"871 COFFEEN STREET,  WATERTOWN",07/09/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; ",0,0,2,Food Service Establishment - Food Service Establishment,Watertown District Office,JEFFERSON, 871 COFFEEN STREET  ,WATERTOWN,13601    ,220100,WATERTOWN,THE MIDWAY,11/01/2016,,,Amell,Michael,729706,Inspection,,NY,"(43.98361, -75.929041)"
SANDY'S LUNCHEONETTE                ,"5   PUBLIC SQUARE,  WATERTOWN",07/10/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,6,Food Service Establishment - Restaurant,Watertown District Office,JEFFERSON,5   PUBLIC SQUARE  ,WATERTOWN,13601    ,220100,WATERTOWN,SANDY'S LUNCHEONETTE,12/31/2016,,,Amo,Sandra,362973,Inspection,,NY,"(43.974804, -75.910847)"
LA GROTTA                           ,"107 ADEE STREET,  PORT CHESTER",03/27/2012,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Westchester County,WESTCHESTER,107 ADEE STREET,PORT CHESTER,10573    ,590600,RYE,LA GROTTA,02/28/2017,,LA GRATTA INC.,LA GRATTA INC., ,694564,Inspection,,NY,"(41.00184, -73.663034)"
TED'S FISHING STATION               ,"143 BAYSIDE  DRIVE,  POINT LOOKOUT",08/12/2008,No violations found.,0,0,0,Food Service Establishment - Frozen Desserts,Nassau  County,NASSAU,143 BAYSIDE  DRIVE,POINT LOOKOUT,11569    ,295041,HEMPSTEAD,TED'S FISHING STATION FD,03/31/2017,,,,,578778,Inspection,,NY,"(40.59209, -73.58336)"
